sku,old_title,new_title,shopify_id
"LR-AGLT-3","LILA लीला - Waking Music - 7 CD Bundle","LEAVING RECORDS - All Genre Levitation Tee (WHITE)",""
"LR-AGPT","LEAVING RECORDS - The Leaving Records Hat","LEAVING RECORDS - All Genre Portal Tee",""
"LR-CDCM-C","LEAVING RECORDS - Spiro World - TEST PRESSING VINYL","LARAAJI - Celestrana / Deep Chimes Meditation Cassette",""
"M-JSP-V","LEAVING RECORDS - Tonings - Tonings CASSETTE (archival, 1980s)","MATTIE - Jupiter's Purse LP",""
"S-BPT","Black Promise Tee","SUSS - Black Promise Tee","gid://shopify/Product/10310471319867"
"M-ABET-C","LEAVING RECORDS - Ashram - Ltd. Ashram Cassette","Matthewdavid - All Bliss, Every Tree Cassette",""
"ME-SS-C","LEAVING RECORDS - Perform the Compositions of Sam Wilkes & - DODGER BLUE VINYL","more eaze - Strawberry Season LP",""
"FDN-C-V","LEAVING RECORDS - Perform the Compositions of Sam Wilkes & - CD (Japan Import)","Fabiano do Nascimento - Cavejaz LP",""
"NG-PMV3-PMVB","LEAVING RECORDS - Cloud Suites - VINYL","Nico Georis - Plant Music Vol.3 - The Golden Teachers LP",""
"LR118-1","LEAVING RECORDS - Reishi - ltd. 12"" Vinyl LP","Kiefer - Kickinit Alone LP",""
"FDN-SC-TP","LEAVING RECORDS - Das Nuvens - VINYL","Fabiano do Nascimento - Solstice Concert LP",""
"BDW-TI-BV","LEAVING RECORDS - Cavejaz - VINYL","Brin & Dustin Wong - Texture II LP",""
"LL-RM-VB","LEAVING RECORDS - Das Nuvens - COLOR VINYL","Low Leaf - Red Moon LP",""
"LR-LAGV","LEAVING RECORDS - Dream Music T-shirt","LEAVING RECORDS - LR ALL GENRE VENN DIAGRAM LONG SLEEVE (WHITE)",""
"LL-RM-VM","LEAVING RECORDS - Solstice Concert - TEST PRESSING","Low Leaf - Red Moon LP",""
"LR-TLWS-V","LEAVING RECORDS - Dang - 12"" Vinyl LP","LEAVING RECORDS - The Living World's Demands LP",""
